blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
58,TELOK BLANGAH HTS,13,1976,Y,N,N,N,N,N,BM,120,0,0,0,120,0,0,0,0,0,0,0,0,58 TELOK BLANGAH HTS,103.813408066986,1.27492292747431
580,HOUGANG AVE 4,16,1996,Y,Y,N,N,N,N,HG,112,0,0,0,67,45,0,0,0,0,0,0,0,580 HOUGANG AVE 4,103.886776999855,1.37895224615238
580,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,48,0,0,0,0,0,48,0,0,0,0,0,0,580 PASIR RIS ST 53,103.946878956275,1.37455583818579
580,WOODLANDS DR 16,12,1999,Y,N,N,Y,N,N,WL,88,0,0,0,0,88,0,0,0,0,0,0,0,580 WOODLANDS DR 16,103.796276091664,1.43058440482082
581,BUANGKOK GREEN,16,2016,Y,N,N,N,N,N,HG,144,0,63,0,0,0,0,0,81,0,0,0,0,581 BUANGKOK GREEN,103.886990225093,1.3795088992027
581,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,48,0,0,0,0,0,48,0,0,0,0,0,0,581 PASIR RIS ST 53,103.946619114452,1.37494172826975
581,WOODLANDS DR 16,12,1999,Y,N,N,Y,N,N,WL,88,0,0,0,0,0,88,0,0,0,0,0,0,581 WOODLANDS DR 16,103.796403905753,1.42989030003699
582,BUANGKOK GREEN,16,2016,Y,N,N,N,N,N,HG,148,0,65,0,0,0,0,0,83,0,0,0,0,582 BUANGKOK GREEN,103.887412758592,1.37929939893812
582,PASIR RIS ST 53,13,1994,Y,N,N,N,N,N,PRC,50,0,0,0,0,0,50,0,0,0,0,0,0,582 PASIR RIS ST 53,103.946874016566,1.37534399249971
582,WOODLANDS DR 16,12,1999,Y,N,N,N,N,N,WL,88,0,0,0,0,88,0,0,0,0,0,0,0,582 WOODLANDS DR 16,103.795835240178,1.43014040629208
